Time: 1571071581, Messages: 0, Members Joined: 0
Time: 1571071586, Messages: 0, Members Joined: 0
Time: 1571071591, Messages: 0, Members Joined: 0
Time: 1571071596, Messages: 0, Members Joined: 0
Time: 1571071601, Messages: 0, Members Joined: 0
Time: 1571071612, Messages: 0, Members Joined: 0
Time: 1571071617, Messages: 2, Members Joined: 0
Time: 1571071622, Messages: 0, Members Joined: 0
Time: 1571071627, Messages: 0, Members Joined: 0
Time: 1571071639, Messages: 0, Members Joined: 0
Time: 1571071644, Messages: 2, Members Joined: 0
Time: 1571071649, Messages: 0, Members Joined: 0
Time: 1571071654, Messages: 0, Members Joined: 0
Time: 1571071659, Messages: 0, Members Joined: 0
Time: 1571071680, Messages: 0, Members Joined: 0
Time: 1571071685, Messages: 2, Members Joined: 0
Time: 1571071690, Messages: 0, Members Joined: 0
Time: 1571071695, Messages: 0, Members Joined: 0
Time: 1571071700, Messages: 0, Members Joined: 0
Time: 1571071827, Messages: 0, Members Joined: 0
Time: 1571071832, Messages: 0, Members Joined: 0
Time: 1571071837, Messages: 0, Members Joined: 0
Time: 1571071842, Messages: 0, Members Joined: 0
Time: 1571071847, Messages: 0, Members Joined: 0
Time: 1571071852, Messages: 0, Members Joined: 0
Time: 1571071857, Messages: 0, Members Joined: 0
Time: 1571071862, Messages: 0, Members Joined: 0
Time: 1571071867, Messages: 0, Members Joined: 0
Time: 1571071872, Messages: 0, Members Joined: 0
Time: 1571071877, Messages: 1, Members Joined: 0
Time: 1571071882, Messages: 0, Members Joined: 0
Time: 1571071887, Messages: 1, Members Joined: 0
Time: 1571071892, Messages: 1, Members Joined: 0
Time: 1571071897, Messages: 0, Members Joined: 0
Time: 1571071902, Messages: 1, Members Joined: 0
Time: 1571071907, Messages: 2, Members Joined: 0
Time: 1571071912, Messages: 0, Members Joined: 0
Time: 1571071917, Messages: 0, Members Joined: 0
Time: 1571071922, Messages: 0, Members Joined: 0
Time: 1571071927, Messages: 0, Members Joined: 0
Time: 1571071932, Messages: 0, Members Joined: 0
Time: 1571071937, Messages: 0, Members Joined: 0
Time: 1571071942, Messages: 0, Members Joined: 0
Time: 1571072443, Messages: 0, Members Joined: 0
Time: 1571073276, Messages: 0, Members Joined: 0
Time: 1571073281, Messages: 2, Members Joined: 0
Time: 1571073286, Messages: 0, Members Joined: 0
Time: 1571073291, Messages: 0, Members Joined: 0
Time: 1571073296, Messages: 0, Members Joined: 0
Time: 1571073301, Messages: 0, Members Joined: 0
Time: 1571073306, Messages: 0, Members Joined: 0
Time: 1571073311, Messages: 0, Members Joined: 0
Time: 1571073316, Messages: 0, Members Joined: 0
Time: 1571073321, Messages: 0, Members Joined: 0
Time: 1571073326, Messages: 0, Members Joined: 0
Time: 1571073331, Messages: 0, Members Joined: 0
Time: 1571073336, Messages: 0, Members Joined: 0
Time: 1571073341, Messages: 0, Members Joined: 0
Time: 1571073346, Messages: 0, Members Joined: 0
Time: 1571073351, Messages: 0, Members Joined: 0
Time: 1571073356, Messages: 0, Members Joined: 0
Time: 1571073361, Messages: 2, Members Joined: 0
Time: 1571073366, Messages: 0, Members Joined: 0
Time: 1571073371, Messages: 0, Members Joined: 0
Time: 1571073376, Messages: 0, Members Joined: 0
Time: 1571073381, Messages: 0, Members Joined: 0
Time: 1571073418, Messages: 0, Members Joined: 0
Time: 1571073423, Messages: 0, Members Joined: 0
Time: 1571073428, Messages: 2, Members Joined: 0
Time: 1571073433, Messages: 0, Members Joined: 0
Time: 1571073438, Messages: 0, Members Joined: 0
Time: 1571073443, Messages: 0, Members Joined: -1
Time: 1571073448, Messages: 0, Members Joined: 0
Time: 1571073453, Messages: 0, Members Joined: 0
Time: 1571073458, Messages: 1, Members Joined: 0
Time: 1571073463, Messages: 1, Members Joined: 0
Time: 1571073468, Messages: 0, Members Joined: 0
Time: 1571073576, Messages: 0, Members Joined: 0
Time: 1571073581, Messages: 2, Members Joined: 0
Time: 1571073586, Messages: 1, Members Joined: 1
Time: 1571073591, Messages: 0, Members Joined: 0
Time: 1571073596, Messages: 0, Members Joined: 0
Time: 1571073601, Messages: 1, Members Joined: 0
Time: 1571073606, Messages: 1, Members Joined: 0
Time: 1571073611, Messages: 0, Members Joined: -1
Time: 1571073616, Messages: 0, Members Joined: 0
Time: 1571073621, Messages: 0, Members Joined: 0
Time: 1571073626, Messages: 0, Members Joined: 0
Time: 1571073631, Messages: 0, Members Joined: 0
Time: 1571325587, Messages: 0, Members Joined: 0
Time: 1571325592, Messages: 2, Members Joined: 0
Time: 1571325597, Messages: 0, Members Joined: 0
Time: 1571325602, Messages: 1, Members Joined: 0
Time: 1571325607, Messages: 1, Members Joined: 0
Time: 1571325612, Messages: 3, Members Joined: 0
Time: 1571325617, Messages: 0, Members Joined: 0
Time: 1571325622, Messages: 1, Members Joined: 0
Time: 1571325627, Messages: 0, Members Joined: 0
Time: 1571325632, Messages: 0, Members Joined: 0
Time: 1571325637, Messages: 0, Members Joined: 0
Time: 1571325642, Messages: 0, Members Joined: 0
Time: 1571325647, Messages: 1, Members Joined: 0
Time: 1571325652, Messages: 0, Members Joined: 0
Time: 1571325657, Messages: 0, Members Joined: 0
Time: 1571325662, Messages: 0, Members Joined: 0
Time: 1571325722, Messages: 0, Members Joined: 0
Time: 1571325727, Messages: 0, Members Joined: 0
Time: 1571325732, Messages: 0, Members Joined: 0
Time: 1571325737, Messages: 0, Members Joined: 0
Time: 1571325742, Messages: 1, Members Joined: 0
Time: 1571325747, Messages: 0, Members Joined: 0
Time: 1571325752, Messages: 1, Members Joined: 0
Time: 1571325757, Messages: 0, Members Joined: 0
Time: 1571325762, Messages: 0, Members Joined: 0
Time: 1571325767, Messages: 0, Members Joined: 0
Time: 1571325772, Messages: 0, Members Joined: 0
Time: 1571325777, Messages: 0, Members Joined: 0
Time: 1571325782, Messages: 0, Members Joined: 0
Time: 1571325787, Messages: 0, Members Joined: 0
Time: 1571325792, Messages: 0, Members Joined: 0
Time: 1571325797, Messages: 0, Members Joined: 0
Time: 1571325802, Messages: 0, Members Joined: 0
Time: 1571325807, Messages: 0, Members Joined: 0
Time: 1571325812, Messages: 0, Members Joined: 0
Time: 1571325817, Messages: 0, Members Joined: 0
Time: 1571325822, Messages: 0, Members Joined: 0
Time: 1571325827, Messages: 0, Members Joined: 0
Time: 1571325832, Messages: 0, Members Joined: 0
Time: 1571325837, Messages: 0, Members Joined: 0
Time: 1571325842, Messages: 0, Members Joined: 0
Time: 1571325847, Messages: 0, Members Joined: 0
Time: 1571325852, Messages: 0, Members Joined: 0
Time: 1571325857, Messages: 0, Members Joined: 0
Time: 1571325862, Messages: 0, Members Joined: 0
Time: 1571325867, Messages: 0, Members Joined: 0
Time: 1571325872, Messages: 0, Members Joined: 0
Time: 1571325877, Messages: 0, Members Joined: 0
Time: 1571325882, Messages: 0, Members Joined: 0
Time: 1571325887, Messages: 0, Members Joined: 0
Time: 1571325892, Messages: 0, Members Joined: 0
Time: 1571325897, Messages: 0, Members Joined: 0
Time: 1571325902, Messages: 0, Members Joined: 0
Time: 1571325934, Messages: 0, Members Joined: 0
Time: 1571325939, Messages: 0, Members Joined: 0
Time: 1571325944, Messages: 0, Members Joined: 0
Time: 1571325949, Messages: 1, Members Joined: 0
Time: 1571325954, Messages: 5, Members Joined: 0
Time: 1571325959, Messages: 0, Members Joined: 0
Time: 1571325964, Messages: 0, Members Joined: 0
Time: 1571325969, Messages: 1, Members Joined: 0
Time: 1571325974, Messages: 1, Members Joined: 0
Time: 1571325979, Messages: 0, Members Joined: 0
Time: 1571325984, Messages: 0, Members Joined: 0
Time: 1571325989, Messages: 0, Members Joined: 0
Time: 1571325994, Messages: 0, Members Joined: 0
Time: 1571325999, Messages: 0, Members Joined: 0
Time: 1571326004, Messages: 0, Members Joined: 0
Time: 1571326009, Messages: 0, Members Joined: 0
Time: 1571326014, Messages: 2, Members Joined: 0
Time: 1571326019, Messages: 0, Members Joined: 0
Time: 1571326024, Messages: 2, Members Joined: 0
Time: 1571326029, Messages: 0, Members Joined: 0
Time: 1571326034, Messages: 0, Members Joined: 0
Time: 1571326039, Messages: 1, Members Joined: 0
Time: 1571326044, Messages: 0, Members Joined: 0
Time: 1571326049, Messages: 0, Members Joined: 0
Time: 1571326054, Messages: 0, Members Joined: 0
Time: 1571326059, Messages: 0, Members Joined: 0
Time: 1571326064, Messages: 0, Members Joined: 0
Time: 1571326069, Messages: 0, Members Joined: 0
Time: 1571326074, Messages: 0, Members Joined: 0
Time: 1571326079, Messages: 0, Members Joined: 0
Time: 1571326084, Messages: 0, Members Joined: 0
Time: 1571326089, Messages: 0, Members Joined: 0
Time: 1571326094, Messages: 0, Members Joined: 0
Time: 1571326133, Messages: 0, Members Joined: 0
Time: 1571326139, Messages: 0, Members Joined: 0
Time: 1571326144, Messages: 2, Members Joined: 0
Time: 1571326149, Messages: 0, Members Joined: 0
Time: 1571326154, Messages: 0, Members Joined: 0
Time: 1571326159, Messages: 0, Members Joined: 0
Time: 1571326164, Messages: 0, Members Joined: 0
Time: 1571327858, Messages: 0, Members Joined: 0
Time: 1571327863, Messages: 2, Members Joined: 0
Time: 1571327991, Messages: 0, Members Joined: 0
Time: 1571329217, Messages: 0, Members Joined: 0
Time: 1571329222, Messages: 0, Members Joined: 0
Time: 1571329227, Messages: 0, Members Joined: 0
Time: 1571329232, Messages: 0, Members Joined: 0
Time: 1571330686, Messages: 0, Members Joined: 0
Time: 1571330691, Messages: 0, Members Joined: 0
